# This is CartPole simulation from 17.02.2023 at time 15:20:21
# Done with git-revision: 5038d32efe89cd5b2f9f71b4db320f72139eed6e
#
# Length of experiment: 360 s
#
# Time intervals dt:
# Simulation: 0.002 s
# Controller update: 0.02 s
# Saving: 0.02 s
#
# Controller: mpc
# MPC Optimizer: mppi
#
# Parameters:
# m_pole: 0.087
# m_cart: 0.23
# L: 0.1975
# u_max: 2.62
# M_fric: 4.77
# J_fric: 0.00025
# v_max: 0.8
# TrackHalfLength: 0.198
# controlDisturbance: 0.5
# controlBias: 0.0
# g: 9.81
# k: 0.3333333333333333
#
# Data:
time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD
1.6,-0.19289124,1.0478452,-3.0761323,0.9814541,-0.19169731,-0.042211022,0.09644387,1.1062651,0.18377267,0.32785577,0.8589821,0.07599439,1.0,0.1975,0.015650835,1.001964,0.18512625,-3.2884092,0.10557334,0.9561708
1.62,-0.17251246,0.9820771,-33.059696,0.9851566,-0.17165805,-0.040099557,0.11556727,-7.113048,0.18530925,-0.4377132,-1.1468085,0.077201985,1.0,0.1975,0.015730333,0.69900817,0.116700046,-28.688042,0.05761521,-6.013584
1.64,-0.1583387,0.40831688,7.3078485,0.9874906,-0.1576779,-0.038947254,-0.0047043036,3.5212097,0.30914775,0.36997557,0.9693359,0.078386284,1.0,0.1975,0.015865415,0.45841753,0.071019,5.467824,0.02405776,2.990463
1.66,-0.14906095,0.51767325,4.8104687,0.988911,-0.14850956,-0.0384661,0.0551049,2.7617934,0.36274517,0.40302128,1.0559157,0.07954327,1.0,0.1975,0.015238833,0.54768974,0.07915206,3.4438763,0.07768411,2.3491259
1.68,-0.1379933,0.5865507,-6.504386,0.990494,-0.13755578,-0.03691242,0.10208737,-0.35827112,0.37721112,0.18445453,0.48327085,0.08066891,1.0,0.1975,0.01548225,0.5257208,0.07016922,-6.071716,0.099225216,-0.29272217
1.7,-0.12738554,0.4651158,-4.8717666,0.9918974,-0.12704131,-0.034927905,0.0962329,-0.030099923,0.39932874,0.20307171,0.53204787,0.08175919,1.0,0.1975,0.015580708,0.4191559,0.051888872,-4.6734185,0.09603565,-0.016884523
1.72,-0.11893842,0.3716475,-2.2054522,0.9929352,-0.1186582,-0.033007193,0.09589521,0.5928637,0.46486616,0.26057395,0.68270373,0.08281009,1.0,0.1975,0.0153565,0.34837422,0.040391125,-2.4006374,0.10076827,0.50886846
1.74,-0.11192425,0.3236348,32.598026,0.993743,-0.11169072,-0.03099183,0.10607257,9.745521,0.51366705,1.1597269,3.0384843,0.08381758,1.0,0.1975,0.015107333,0.58347416,0.06211406,27.144402,0.18556713,8.257713
1.76,-0.10018878,0.8665223,-18.510708,0.9949853,-0.10002125,-0.02728049,0.27122667,-3.9002297,0.4261795,0.14219594,0.37255335,0.08477763,1.0,0.1975,0.01556775,0.71107703,0.06635493,-15.930635,0.23951627,-3.2858887
1.78,-0.08590534,0.5479099,11.388329,0.9963124,-0.085799724,-0.02249017,0.20550896,3.8628387,0.441026,0.76694536,2.0093968,0.08568624,1.0,0.1975,0.015651833,0.6372659,0.050780226,9.387529,0.23706065,3.2806196
1.8,-0.07311956,0.7356603,-25.913616,0.997328,-0.07305442,-0.017748961,0.2711213,-6.1128855,0.3959017,-0.07677272,-0.20114452,0.086539365,1.0,0.1975,0.015554042,0.5223445,0.03551227,-22.094551,0.221369,-5.1592703
1.82,-0.062648445,0.29376706,18.31659,0.99803823,-0.062607475,-0.013321559,0.16793537,5.452519,0.4823953,0.8455344,2.2153,0.087332994,1.0,0.1975,0.015726667,0.44104537,0.025710488,15.284435,0.21241002,4.619776
1.84,-0.053812545,0.5994555,27.337767,0.99855244,-0.053786576,-0.009073363,0.2603308,7.7465277,0.4269818,1.2320778,3.2280438,0.0880631,1.0,0.1975,0.016340958,0.82115495,0.037464537,23.108791,0.32354,6.5675635
1.86,-0.03737219,1.0616308,-45.825783,0.99930173,-0.037363492,-0.0026025686,0.39168194,-11.693641,0.2954279,-0.401692,-1.052433,0.08872566,1.0,0.1975,0.016051084,0.6886977,0.020998737,-38.62613,0.29649046,-9.873132
1.88,-0.02359174,0.289109,-8.167261,0.9997217,-0.023589551,0.003327235,0.1942195,-1.9156253,0.36959916,0.1753568,0.4594348,0.089316666,1.0,0.1975,0.015994582,0.22234946,0.004753475,-6.9380918,0.17864119,-1.614669
1.9,-0.019143736,0.15034729,37.617966,0.9998168,-0.019142566,0.0069000553,0.16192615,10.097891,0.42825288,1.2699082,3.3271594,0.089832075,1.0,0.1975,0.015541083,0.45671743,0.0066578453,31.821898,0.24423446,8.545519
1.92,-0.010008393,0.78678465,13.2073965,0.99994993,-0.010008226,0.01178474,0.33283636,3.5877557,0.28054196,0.9534035,2.497917,0.09026787,1.0,0.1975,0.016179541,0.8958347,0.00093876844,11.44941,0.36216038,3.0509408
1.94,0.007908641,1.015774,-5.450769,0.9999687,0.0079085585,0.019027984,0.39385548,-1.4982198,0.14819854,0.571584,1.49755,0.09062003,1.0,0.1975,0.016234541,0.97362465,-0.017181056,-4.1610727,0.38176048,-1.2467009
1.96,0.027384454,0.93255264,-18.901247,0.9996251,0.027381033,0.026663186,0.3689215,-5.2343307,0.018060818,0.16241634,0.4255308,0.090884544,1.0,0.1975,0.016226793,0.78089666,-0.027498629,-15.470761,0.32637662,-4.4079227
1.98,0.043012213,0.6231377,-37.92362,0.9990751,0.04299895,0.033190712,0.28076312,-10.408934,-0.043777473,-0.49965075,-1.3090849,0.09105737,1.0,0.1975,0.016019791,0.3163978,-0.014621033,-31.618753,0.19601658,-8.791434
